评价,评论类型,情感得分,置信度
好吃又健康。因为我有长期减脂，每次搭配一个这个吃，真的超健康。一直都买这家的买了好几次，这次居然多送了个午餐肉，真好吃，以后我还买。,中性,0.4757537002188521,0.9757537002188521
口感味道：味道还可以，奥尔良味的，辣椒炒肉的，都挺好吃的。 新鲜度：还行，挺新鲜。 商品分量：分量还可以，一百克一袋一顿能吃饱，再配点其他碳水蔬菜啥的。 现在在回购了，冰箱里常备，便捷的懒人减脂饭，不想搞其他的就吃它,中性,0.5574064457027256,0.9425935542972744
奥尔良口味很好吃，肉质很嫩饱腹感强，日期新鲜，发的顺丰物流也很给力～会再次购买的,正面,0.7080710794605731,0.7080710794605731
店里的食物太美味啦，造型精致，香味独特，每一口都能感受到用心。真的是我吃过超棒的美食，以后还会再来 鸡胸肉虽然有点小贵但都是整快的鸡胸很美味很好吃,正面,0.74567274225472,0.74567274225472
好吃。最喜欢奥尔良口味的。烧烤味大女儿很喜欢减肥晚上吃一块配点蔬菜很好,正面,0.8578429070383973,0.8578429070383973
无限回购之奥尔良口味的鸡胸肉，我很喜欢优形的鸡胸肉，早上运动完或者下午饿了加餐都是很不错的,正面,0.8894537816156161,0.8894537816156161
不错，挺好的，不过最近有点吃腻了，已经下单其他产品。,中性,0.421980341978858,0.9219803419788579
头一次购买， 尝试以后感觉口感还不错，没有味同嚼蜡的感觉， 很适合减肥餐食用……,中性,0.5442954539411448,0.9557045460588552
真的很喜欢意式香草和奥尔良，蛋白质含量丰富，开袋即食很方便，给需要的拍一下配料表。,中性,0.47430536457562744,0.9743053645756274
方便快捷！开始减肥后，现在只吃鸡胸肉了，这次先买几包试试口感，挺不错的！每天晚上拌沙拉吃。,中性,0.5512222412223586,0.9487777587776414
1. 优形鸡胸肉，肉质鲜嫩不柴，口味多样，开袋即食超方便！ 2. 减脂期囤了好多优形鸡胸肉，低卡高蛋白，好吃还没负担。 3. 入手不亏！优形鸡胸肉口感绝，营养丰富，随时补充能量。,正面,0.728481011134078,0.728481011134078
多次都买 味道是所有鸡胸肉中最好的 会继续回购 推荐给大家,正面,0.8388803855460731,0.8388803855460731
肉很鲜美，口感非常好，每种口味都不错，用料扎实，纯正好吃，减脂期非常高兴能吃的这么好吃的鸡胸肉,正面,0.8485924568202461,0.8485924568202461
很好吃，口味很多样，适合减脂期当晚餐吃，不用担心变胖，有利于减脂,正面,0.7744732507243899,0.7744732507243899
美味速达，顺风送到门口。想吃就吃，毫无罪恶感。无限回购。,负面,0.28974834269936317,0.7102516573006368
减脂期必吃，很新鲜，每天中午配着减脂餐吃，比学校鸡胸肉好吃多了,正面,0.7401789739950371,0.7401789739950371
很好吃的，对健身很有帮助，推荐推荐，口味不一样的种类也很多好吃的了,正面,0.8481922654135854,0.8481922654135854
6天后追评：很好吃，口味有很多种，我都很喜欢的，,正面,0.8215147280706414,0.8215147280706414
好吃的呀，还会再回购的～,中性,0.5846037175549708,0.9153962824450292
2天后追评：已经推荐给朋友了，好吃好吃好吃,中性,0.4969469789575074,0.9969469789575074
口感很好，日期新鲜，鸡肉份量很足，保温箱加冰袋包装很好,正面,0.7871600480026949,0.7871600480026949
非常好的鸡胸肉，个人最喜欢烧烤味，很饱腹，下次还会再来这家买，也推荐大家购买，很棒不错,正面,0.7888486568047857,0.7888486568047857
优形鸡胸肉很好吃，减肥减脂餐必备，烧烤味和奥尔良味道很赞，这次还可以试试新味道辣椒炒肉，日期新鲜，分量很足，包装完好，泡沫盒冰袋运输，保证了食材新鲜。,中性,0.5846644596163105,0.9153355403836895
商品分量：鸡胸肉是整块的，份量足 保质期：S生产日期新鲜的，基本上在一个月左右,中性,0.35722736888332884,0.8572273688833288
味道不错 份量也多 鸡胸肉一直买的这个品牌的 都是新鲜日期的 发货也快 包装的很好,正面,0.895,0.895
身边的朋友都在吃，健身教练推荐的这个大品牌的专家鸡胸肉绝对没有问题，值得信赖味道也特别好分量，也特别足包装品质，高端大气上档次,正面,0.8569588403193507,0.8569588403193507
给朋友买的，朋友觉得很好吃，最爱吃奥尔良口味的，价格也比较实惠，等活动的时候再囤一些减肥用！比便利店买实惠很多！,正面,0.83586545331816,0.83586545331816
日前新鲜，吃得很方便，在宿舍下课拆开就能吃了，还能减肥,正面,0.7638374753495701,0.7638374753495701
口感味道：非常好吃！ 新鲜度：顺丰快递非常快！一天就到了！ 商品分量：分量大，可以当晚餐吃！ 买过很多家的鸡胸肉了，但只有优形的值得回购。其他家的鸡胸肉味道都很怪。,正面,0.7374059453683862,0.7374059453683862
商家发货挺快的，而且顺丰上门，冷链发货，不错的购物体验，棒👍🏻👍🏻👍🏻,正面,0.662149342912484,0.662149342912484
1天后追评：追评一下,负面,0.11757513039232143,0.8824248696076786
21天后追评：鸡胸肉已经回购好几次了，好吃，口味也不错呢,中性,0.4852041575954397,0.9852041575954398
很不错诶，味道很好吃，口味也很多，推荐大家购买,正面,0.8100946210654596,0.8100946210654596
16天后追评：买过两次了，这几个口味都很好吃，最爱吃烧烤味，一点也不柴，减脂期必备,中性,0.36701673406758184,0.8670167340675818
生产日期四月底，保质期三个月，还剩两个月吃完八袋绰绰有余。可以,中性,0.5551291446363283,0.9448708553636717
"味道很好, 热量低, 吃也方便, 饿了吃一个, 或者放面 包里做三明治都很好吃, 不知道第几次回购了, 基本上 家里常备",正面,0.6648841349716762,0.6648841349716762
非常好！天猫直播的活动好划算呀！比罗森便利店便宜好多！优形鸡胸肉超级好吃、健康而且料理起来非常方便，做三明治、拌沙拉都是很好的选择！,正面,0.895,0.895
鸡胸肉很好吃，适合减脂期饮食，方便快捷又好吃，这个价格买到很划算。,正面,0.8309268322603709,0.8309268322603709
鸡胸肉很好吃烧烤味的最好吃 不像其他鸡胸肉那样有一股怪味 很适合减脂期吃,中性,0.5541773811684794,0.9458226188315206
口感很好，不会柴，快递也很快，非常适合减脂期，也可以直接做凉拌菜,正面,0.7616489801396327,0.7616489801396327
味道不错 全家都喜欢 鸡胸肉是整块的 感觉要比碎块的看着更健康一点,正面,0.895,0.895
口感味道：很好 新鲜度：很新鲜！最近优形了***好吃好吃好吃,正面,0.895,0.895
8天后追评：很好赞赞赞,正面,0.895,0.895
现在是减脂期，直接拿出来吃非常方便，物美价廉，直接吃或者空气炸锅热一下也可以，完美完美。,正面,0.7075970796723543,0.7075970796723543
好吃！开袋即食很方便，加热一下更好吃，推荐烧烤味。很适合减脂期,中性,0.5155352349065538,0.9844647650934462
鸡胸肉收到啦！吃了快一半才来评论，都挺好吃的。中午忙的时候没时间吃饭，正好来一块！,负面,0.31552528168369554,0.6844747183163045
宝贝很喜欢 物流特别快 顺丰冷链 包括客服也很耐心的解决问题 会回购的,正面,0.8645508836617871,0.8645508836617871
鸡胸肉买过很多次了，很好吃，这次买的很划算，夏天到了想减肥，早餐吃一块很饱腹！,正面,0.8352037875567906,0.8352037875567906
日期新鲜活动划算，料理起来很方便，配料表干净，非常好还会回购的！,正面,0.7956817106529518,0.7956817106529518
很好吃回购很多次冰袋发货也很方便！减肥必备！！推荐购买ooo,正面,0.8706721032922893,0.8706721032922893
好吃好吃好吃，会回购，准备再回购！！！早晨吃 中午吃 晚上也能吃,负面,0.19998511282141426,0.8000148871785857
性价比不错，买的多就便宜，比超市要便宜一截，2020年第一次买，一直回购,正面,0.6527087103216682,0.6527087103216682
商品不错，可以直接即食，也可以煎炸，大人小孩老人都非常喜欢吃。,正面,0.7839926665540482,0.7839926665540482
东西很好吃，为了减脂买的，很省事，吃完还会再来买的,正面,0.749783228544886,0.749783228544886
20天后追评：包装袋方便打开，设计的比较人性化，期待更多新品上市，比如原味的,中性,0.38445026982601105,0.884450269826011
大品牌值得信赖 最好的鸡胸肉 没有之一 朋友都在吃 教练也推荐这款,正面,0.895,0.895
不错，开袋即食很方便，适合减脂期。,正面,0.7554854641114108,0.7554854641114108
非常好👍，干净放心，健康方便，很推荐，奥尔良味道好吃😋,正面,0.824710713534049,0.824710713534049
多次回购了，平时上班忙为了补充蛋白质早晚都可以吃很方便。,负面,0.19195473319710543,0.8080452668028946
特别好，一直买这家，品质优良，味道好,正面,0.7583697672795278,0.7583697672795278
口感味道：几个口味都很好吃，很喜欢 新鲜度：很新鲜，没有怪味 商品分量：很多，减脂期我都要分两次吃 保质期：三个月 包装品质：密封很好 减脂期，拌面有肉有🍜很好哦~,正面,0.7269378247864937,0.7269378247864937
有两袋酸了 应该是小概率事件吧 希望后面的没事儿啊,中性,0.44414020451512354,0.9441402045151235
口感味道：味道浓郁，口感特别好 新鲜度：新鲜 商品分量：商品份量很足 保质期：日期新鲜,正面,0.7781613278069219,0.7781613278069219
拿来做减脂餐非常好，配料表也很干净。第三次回购了,正面,0.6970798028694266,0.6970798028694266
买了好多次了，好吃还热量低，适合减肥人士，包装完好还有冰袋，一天就能到,正面,0.7330081293613369,0.7330081293613369
感觉还可以，确实不柴，但是感觉也没说的那么好,正面,0.6298893090237483,0.6298893090237483
不得不夸夸这家鸡胸肉，每一块都很规整，处理起来超方便 。烹饪后口感很棒，嫩而不腻，蛋白质含量高，价格实惠，健身人士必备，已经安利给身边朋友了！,正面,0.6953768665972584,0.6953768665972584
4天后追评：非常好吃，鲜美多汁！,中性,0.4767827917725278,0.9767827917725278
低脂饿了解馋，开袋即食，挺好吃的，夹在面包里也不错。,正面,0.7098500601726259,0.7098500601726259
买了两重口味，孩子更喜欢奥尔良，我觉得烧烤味也不错，冷链包装很细致，即食很方便，一定要冷藏保存,正面,0.7487547564196699,0.7487547564196699
口感味道：一直觉得优形的鸡胸肉很嫩，口感真的很好，调味也好吃😋推荐减肥吃！,正面,0.8902713665212927,0.8902713665212927
买了两重口味，孩子更喜欢奥尔良，我觉得烧烤味也不错，冷链包装很细致，即食很方便，口感挺好的不柴,正面,0.8026819650456734,0.8026819650456734
口感味道：好吃，不像其他品牌那样肉纤维都没了 新鲜度：很新鲜，不是冷冻很久的货 商品分量：满足100g,正面,0.6873120991512648,0.6873120991512648
口感味道：很好吃，当减脂餐吃的，饱腹感很强，会继续回购，顺丰发货很快速，好评好评好评。,正面,0.6743350822999564,0.6743350822999564
28天后追评：香草个人觉得有时候好吃有时候有点锈味呢？还是奥尔良稳定发挥,正面,0.7258040696527384,0.7258040696527384
好吃的，信我信我，鸡胸肉做得一点也不柴，还十分健康，减肥期天天吃，蛋白质多了，也确实不挨饿了，这个价格也实惠以后还会复购的！,正面,0.7048815218466107,0.7048815218466107
当天追评：好吃！,中性,0.3786975975469377,0.8786975975469378
鸡胸肉一如既往，新口味也蛮好吃的，更清爽些,正面,0.8468032697702101,0.8468032697702101
口感味道：很好呀,正面,0.8808771036920404,0.8808771036920404
18天后追评：减脂期佳品，开袋即食，太方便了，中午一块鸡胸肉，一杯燕麦片加羽衣甘蓝粉，太方便了。,中性,0.31703223772751954,0.8170322377275195
新鲜 肉质紧实 特别好吃 下次还买 好吃,中性,0.5704455478613082,0.9295544521386918
物美价廉，物流给力，值得回购,正面,0.658238714472812,0.658238714472812
口感味道：好吃，奥尔良的美味，还很方便，撕开就能吃，来财来财来，推荐入手👍实惠方便省事,正面,0.6557263977159458,0.6557263977159458
新鲜度：新鲜，非常新鲜 保质期：保质期新鲜，保质期三个月，优形的鸡胸肉挺有名的，顺风快递发货速度非常快口味也好鸡胸肉挺嫩的，有机会还会回购的,正面,0.7089889859391124,0.7089889859391124
优形鸡胸肉，肉质鲜嫩如丝，入口即化，低脂却饱含肉汁，高蛋白滋养，减肥的姐妹特别适合，快递很快隔天就到了，泡沫冷藏箱包装完好，值得回购,正面,0.7406502425179783,0.7406502425179783
17天后追评：真的很好吃！最近减肥，别人推荐我吃这家的鸡胸肉，一直以为鸡胸肉很柴不好吃，结果真的让我很惊讶！健康又超级好吃。已经复购第二次了，吃完还会再买的。,正面,0.7044445485228978,0.7044445485228978
品牌的值得信赖，天猫超市购物放心又快，包装很好送到家了。,正面,0.8911216085711509,0.8911216085711509
赶上大促 性价比高 比我在便利店买划算 新口味也好吃 每天晚上吃,正面,0.895,0.895
1天后追评：发货快，这款鸡肉撕开拌蔬菜沙拉特别方便，咸淡适中，已经是二次购买了。,中性,0.5205049143005719,0.9794950856994281
口感味道：好吃，不像其他品牌那样肉纤维都没了 新鲜度：很新鲜，不是存了很久的货,正面,0.6688236860452171,0.6688236860452171
鸡肉很厚 很香 撕开里面是一丝一丝的的肉质很鲜美 性价比还是挺高的 奥尔良的很好吃 不是很重的口味 适合减肥人群,正面,0.895,0.895
鸡胸肉质量很好，肉质鲜嫩无腥味。卖家服务态度热情周到，发货速度快，非常满意！,正面,0.7874900776609024,0.7874900776609024
味道可以 蛮多汁 就是吃完真的口很渴 因为综合调料吧,正面,0.6972903922372615,0.6972903922372615
首先很好吃，饱腹感强，一袋晚上吃刚刚好，厚厚的一块，好吃,正面,0.7209460903788316,0.7209460903788316
非常好，一直买这家，味道好还健康，减脂期合适的,正面,0.7716385399473015,0.7716385399473015
好吃，低脂健康，管理期的姐妹可以放心吃！,正面,0.74984143762301,0.74984143762301
味道不错，这么一大块，吃完很饱，买的两个味道都很好，推荐购买！,正面,0.80155437729562,0.80155437729562
鸡胸肉味道还行,正面,0.6882200297829224,0.6882200297829224
包装挺好的，冷链，吃着很方便，会回购。,中性,0.565890495757553,0.934109504242447
学生时代就在吃的品牌，一袋一百多卡解解馋不怕胖~,正面,0.7053459769599137,0.7053459769599137
减肥买的，非常方便，味道也好吃比较好坚持，考虑回购！,正面,0.613139574521239,0.613139574521239
很健康，减肥健身人士可入，奥尔良味的很好吃，可以即食，也可以加热吃，很方便。,中性,0.5785021080216767,0.9214978919783233
口感味道：有劲道 新鲜度：冷冻很好，很新鲜 商品分量：量很足很大，很实惠 保质期：够吃,正面,0.8855805982829312,0.8855805982829312
20天后追评：是我买过口感最好的鸡胸肉 蛋白质含量高 是一次不错的购物体验,正面,0.887355569516185,0.887355569516185
作为一个超级挑剔的消费者，这次被彻底征服。商品的功能强大，超出了我的想象。配货速度快，服务质量更是一流水准，无可挑剔！,正面,0.7458437153238369,0.7458437153238369
特别好吃😋😋买过好多回了，一袋超级大，减脂期必备，特别喜欢吃奥尔良的,正面,0.7402862153332118,0.7402862153332118
线下买过很多次，发现官网购买更划算，果断下单，口感和之前吃的一样，每个口味都喜欢，会继续回购的！,正面,0.6700824635127133,0.6700824635127133
很愉快的购物，对比了好多家，他家的价格最有优势，推荐大家购买，不会后悔,中性,0.5781686719174471,0.9218313280825529
蛮好吃的，有辣椒味。吃完会回购。,中性,0.4091910042135194,0.9091910042135194
非常好吃，第二次买了，最喜欢奥尔良味的，推荐购买,正面,0.6153641524713337,0.6153641524713337
口感还可以，和711买卖的一样。,正面,0.6578337114346593,0.6578337114346593
22天后追评：味道非常赞，一点也不像批量生产的货，比我在家自己做的还好吃！ 不像其他品牌，一尝就是冻了很久的货。,负面,0.31064373160372843,0.6893562683962715
日期非常新鲜,中性,0.3666301640655292,0.8666301640655292
特别好吃很嫩，一点也不材，准备继续回购，一直到瘦下来哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,正面,0.6254257099937988,0.6254257099937988
今天吃了一袋奥尔良味道的，挺好吃的，代餐或者拌沙拉都很不错。,中性,0.5421867301751879,0.9578132698248121
好吃，特别适合减脂期不想做饭的，补充蛋白质,负面,0.3108894181095794,0.6891105818904206
强烈推荐！是整块的原切肉肉，不是那种切成小块真空的，更好吃！物流快包装也很好。,负面,0.32530254745620346,0.6746974525437965
凑活动买下来超级划算多了，日期也很新鲜，味道也是一样的，性价比很高。,正面,0.6855999631230583,0.6855999631230583
口感味道：是我觉得很多鸡胸肉里面最棒的 新鲜度：拆开即食特别好 每次买了减脂期吃的，很好的蛋白质摄入 商品分量：足够吃一顿 保质期：好，新鲜 包装品质：很好,正面,0.895,0.895
新品味道也不错，已经买了几次了,正面,0.7435965989836185,0.7435965989836185
当天追评：这减肥鸡胸肉真是绝了，质量超级好，肉质紧实又不会柴，口感非常好，吃这个减肥真是太棒了，真的可以当主食，,正面,0.7701227559987343,0.7701227559987343
东西质量非常好，与卖家描述的完全一致，非常满意,正面,0.7952683107995979,0.7952683107995979
口味好吃，日期新鲜，块儿挺大的，配面包吃很好,正面,0.7556415147425646,0.7556415147425646
吃着很不错，肉也很嫩，味道适中，推荐购买嗷。适合减肥的时候食用。,正面,0.7717198203730122,0.7717198203730122
商家发货速度很快，顺丰送货到家，满满一大箱，冷链送货无需担心哦，减肥者的福音超级好吃还会继续回购的，祝老板生意兴隆哦🌹,正面,0.700449324926389,0.700449324926389
超级好吃的 知名度很高的一款鸡胸肉 比外面的便利店卖的便宜很多 物美廉价的！,正面,0.895,0.895
便宜的速食鸡胸肉牌子也有很多 优形真的可以说是最好吃的 包装有冰袋 顺丰速度服务都超好～,正面,0.895,0.895
很不错，下次还买，挺好吃的哈哈哈哈哈哈哈哈哈,正面,0.8241072456069263,0.8241072456069263
当天追评：真的挺不错哦，,正面,0.8299555110271711,0.8299555110271711
买了三种口味，日期比较新鲜，配料表还算干净，发货快顺丰冷链送到家门口,正面,0.6731997518669963,0.6731997518669963
非常不错，已经推荐给同事和朋友了，会再次回购的，家人们也都很喜欢，希望越做越好，生意兴隆啊哈哈，也希望大家能喜欢这个产品,正面,0.8112990690629147,0.8112990690629147
买了三种口味，日期比较新鲜，配料表还算干净，发货快顺丰冷链送到家门口。,正面,0.6731997518669963,0.6731997518669963
减肥代餐吃正好，热量低，还方便,正面,0.6458312662770621,0.6458312662770621
东西很好买过很多次，发货也很快，包装很好,正面,0.8737914224770682,0.8737914224770682
肉挺大块的，和便利店买的一样，晚上这个价格比较优惠，多囤了一点，喜欢辣椒炒肉和奥尔良👍,正面,0.6870053925422224,0.6870053925422224
东西很好，快递很快！,正面,0.7954391767529905,0.7954391767529905
2天后追评：已经吃上了！,负面,0.14195900414305687,0.8580409958569432
口感不错,正面,0.895,0.895
还行，奥尔良味好吃一点,中性,0.5473626526133636,0.9526373473866364
优形鸡胸肉很好吃，很适合减肥期间的朋友，还会回购的,正面,0.8075523303374115,0.8075523303374115
部分的生产日期较早，包装袋标示保质期为3个月。如果说一个月内吃不完，要注意查看，可能存在部分临近保质期。 保质期：部分剩余大概1个月 包装品质：好,负面,0.20252351170549293,0.7974764882945071
3天后追评：超级好吃，回购！我都买好几次了,负面,0.28045415561163456,0.7195458443883654
到得很快 还有冰袋 第三次回购了 好好,正面,0.7702896661508359,0.7702896661508359
早餐必备 经常回购 物流很快,正面,0.68139279335713,0.68139279335713
优形鸡胸肉味美可口，减脂期的高蛋白，值得反复回购。,正面,0.8098931083585883,0.8098931083585883
1天后追评：收到28袋鸡胸肉，可以连续吃28天，味道可以，日期新鲜，值得购买。,负面,0.2508941322136142,0.7491058677863858
买了好多了，健身当晚餐，减肥是大事！,正面,0.813007486926123,0.813007486926123
非常不错，配品质一如既往的好，已经复购很多次了。,正面,0.8486730014408681,0.8486730014408681
搭配泡面日常微波一下超级快，,正面,0.8864880598113574,0.8864880598113574
1天后追评：吃起来很不错,正面,0.6322980358705415,0.6322980358705415
作为健身减脂人士，要常备蛋白质食物，当然这种便捷的鸡胸肉是必须的，吃腻了水煮蛋，就换这来！,中性,0.42561320710806627,0.9256132071080663
这个口味还不错，就是钠多了点儿,正面,0.7450753474901404,0.7450753474901404
东西可以发货快 好评,正面,0.7225064326289596,0.7225064326289596
1天后追评：新鲜可口，减胎期最佳食品，值得购买。,正面,0.6256623883656229,0.6256623883656229
1天后追评：多次购买，味道鲜美，一点也不柴。,负面,0.24129784298202028,0.7587021570179797
搭配泡面日常微波一下超级快，搭配泡面日常微波一下超级快，,正面,0.8896809155708973,0.8896809155708973
1天后追评：蛮不错的,正面,0.6738963532428881,0.6738963532428881
新奥尔良味还可以，其他感觉一般。,中性,0.44432992243515235,0.9443299224351523
一如既往的好,正面,0.895,0.895
日期忘记看了，东西不错，女儿说好吃，主要是真的优惠,正面,0.7601727969938352,0.7601727969938352
买了无数回，特别好,中性,0.5458334802124574,0.9541665197875426
全家平时对优形鸡胸肉印象非常好，质量过硬，口味纯正，值得信赖,正面,0.6003478017220557,0.6003478017220557
快递发顺丰，效率高，大大的赞一***胸肉味道很棒！再次赞一下！,中性,0.5483038399108319,0.9516961600891681
好吃无负担 减脂期好搭档,正面,0.895,0.895
20天后追评：火候再软一点更好了,中性,0.24679971201451772,0.7467997120145178
顺丰到家，冰袋保鲜，优质蛋白，减脂必备,中性,0.5267863498577866,0.9732136501422134
挺好吃的，一如既往的好！,正面,0.8884048325064411,0.8884048325064411
好吃！就是有的会有点辣，可以配点饮料,中性,0.5182724787444212,0.9817275212555788
减脂必备,正面,0.6152266242228273,0.6152266242228273
复购很多次了，日期很新，吃着也很新鲜。,正面,0.6907708705647673,0.6907708705647673
配料干净，携带便捷，口感俱佳，永远回购的一款产品,正面,0.7858841267120409,0.7858841267120409
当天追评：推荐购买,中性,0.505731099309865,0.994268900690135
本身是熟的，稍微加热一下就可以。,负面,0.3469851125538119,0.6530148874461881
好吃，发货快,正面,0.7107234112339617,0.7107234112339617
蛋白质管够，省事好吃,负面,0.32190943004397093,0.6780905699560291
味道非常好,正面,0.7634011438790901,0.7634011438790901
低脂高蛋白，买给管理身材的孩子食用的，有空了我也尝尝。,正面,0.7415214293319773,0.7415214293319773
减脂人必备,正面,0.6152266242228273,0.6152266242228273
超级好吃！就是有点贵,中性,0.538191955891996,0.961808044108004
第二次买了，孩子喜欢,正面,0.6649951243453992,0.6649951243453992
还没吃，期待好口味,正面,0.7031031502246641,0.7031031502246641
有点儿咸,中性,0.2943720656603752,0.7943720656603752
鸡胸肉的味道还不错，因为入味的鸡胸肉不多。其他鸡胸肉虽然是营养好的荤菜，但没味道。这个有味道。,负面,0.3321075756866961,0.667892424313304
做了彩虹碗，先试了奥尔良口味的，好吃的~,正面,0.6457875588301776,0.6457875588301776
新鲜度：日期还行，还有两个多月，价钱也还算便宜，吃起来也不柴,正面,0.6711074306366229,0.6711074306366229
日期还行，还有两个多月，价钱也还算便宜，吃起来也不柴,中性,0.5847791869448605,0.9152208130551395
一直买这家，比旗舰店便宜。主要是即食的很方便，低脂健康。,正面,0.6240187747177978,0.6240187747177978
味道很好，加热也方便，物流很快，太棒了。,中性,0.5880637165793572,0.9119362834206428
可以 除了烟熏的有点咸 哈哈哈,负面,0.17619683693594215,0.8238031630640579
商家回复：感谢您购买优形商品，收到商品后有任何问题请立即与我们售后人员联系，我们一定会尽力为您处理，期待您的再次光临。,负面,0.2737900180620876,0.7262099819379124
烧烤味和奥尔良味还可以,负面,0.14218619249655848,0.8578138075034415
93天后追评：好吃好吃 适合拌蔬菜沙拉一起吃 刚好最近在控制体重 不错 还会回购,正面,0.640243266279103,0.640243266279103
多次购买,中性,0.5790233744477917,0.9209766255522083
八错 好恰,正面,0.8871253133547949,0.8871253133547949
谨慎购买吧。一打开一股扑鼻的臭味，接下来的也不敢吃了不能退货，还得一包包打开看有没有臭才能售后😂不会再买了,负面,0.1274896168378725,0.8725103831621275
运输时间长达三天，这么热的天，仅一个小冰袋，收到货都是热乎乎的，还能不能吃？,负面,0.1914822542603089,0.808517745739691
泡沫箱随便包了下就送过来了，一个箱子里就一个冰袋，产品包装上表明0-10度保存，快递到时已经变成常温了。,负面,0.17655948136991306,0.8234405186300869
收到货时候，鸡胸肉已经化冻。距离发货地廊坊超过3天时效的，特别是南方的买家，不建议购买。 放到冰箱冷藏后，吃了就闹肚子，剩下的已经扔掉了,负面,0.17795385384852302,0.822046146151477
很不错，和店里的一样，吃完了再来买，包装也很好。,正面,0.7333578120855195,0.7333578120855195
11天后追评：补发图片,负面,0.11610781144550578,0.8838921885544943
减肥东西没一个好吃的,正面,0.8743966816432442,0.8743966816432442
工作太忙了，健身完了吃一块补充蛋白质很方便，味道也好，推荐辣椒炒肉味道的，可以直接吃也可以微波,中性,0.3531209916932478,0.8531209916932478
8天后追评：冷藏保存,负面,0.15370013680048314,0.8462998631995169
不是新鲜的日期 今天4月27号 都是3月26或者3月29号的日期 没过期,负面,0.08408370139579238,0.9159162986042076
商家回复：感谢您购买优形商品，收到商品后有任何问题请立即与我们售后人员联系，我们一定会尽力为您处理，期待您的再次光临。,负面,0.2737900180620876,0.7262099819379124
辣椒炒肉味超级恶心，买了10包吃了两包受不了全丢了,负面,0.10879869259016908,0.891201307409831
真难吃。保质期3个月，辣椒炒肉的都过去2个月了。爱吃的也别多买。,负面,0.17970982123584944,0.8202901787641506
偶尔会出现嘴唇肿了的情况，以后不会再买了,负面,0.24840791812757596,0.751592081872424
千万别买 太难吃了 不是一般的难吃 木木的,负面,0.09750825218938554,0.9024917478106145
难吃，鸡肉味道不对,中性,0.4509637434244336,0.9509637434244336
超级难吃我的天啊 味道很让人想吐 吃一口就扔了 想靠这个减肥的算了吧 不如啥也不吃,负面,0.11837911518445887,0.8816208848155411
早知道不买了，就吃了一个就不想吃了😂,中性,0.3286626788324779,0.8286626788324779
24年12月初生产的，可能因为日期不佳加上储存不当都变味了。大意了忘记了曾经说过再也不买了😂将此店拉入名单从此谨记😄,负面,0.17224067668387158,0.8277593233161284
好吃新鲜,正面,0.746177661160976,0.746177661160976
对付吃吧,中性,0.5435074276789895,0.9564925723210105
