肉质不新鲜,5,感觉肉质不是很新鲜，其他都很好,有腥味，难以下咽,鸡肉发酸、发苦，还带点腥味，慎买
包装简陋,8,包装极差，一个快递袋子里面全是散的小包装，大品牌差这么点包装袋钱,包装太随意,一个快递袋破了一片洞，没有内包装，里面都是灰，体验感很差
味道咸,7,味道可以，就是肉小，不像视频介绍的那么大,超级咸啊啊啊啊😭😭😭,太咸了，腥味特重
有异味,6,不好吃，拆开臭了发霉了,一股腥臭味 包装就是一个烂快递袋,鸡胸肉超级腥，吃了一包吃到嘴里没滋没味的
漏气破损,4,无敌了，买了15个，明显漏了的有三四个,到的时候是破损件，两种各少一包,坏了一包、下次快递用盒子
口感差,5,口感味道：一般般根本就不是一整块鸡排全是小碎块拼接出来的,吃起来感觉臭臭的有点想吐。。。,巨难吃，没有卖家秀拍的那样，都是碎肉
分量不足,3,给了13包少了两包,味道可以，就是肉小，不像视频介绍的那么大,一拿到就这样，还缺斤少两
发货慢,3,发货还可以，味道有些淡，分量有些小,味道还行，发货很慢,很好吃，回购三次了，就是发货很慢
客服态度差,2,购买了这家店的鸡肉，结果是假货，或是劣质产品...客服告诉我是新包装，他们是官方店。但不给退款，态度恶劣,如果买了两个味儿，那就要注意了，因为有两个包裹，而且客服不会提醒你哦
物流差,3,物流太暴力了，无语死了,快递过来就一个打包袋装着！袋子都磨破了！,物流韵达，懂的都懂
