response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0047,0.0016,0.0000,0.0015,0.0015,0.0001,400,58.9280
0.0072,0.0015,0.0000,0.0015,0.0040,0.0001,400,58.9279
0.0065,0.0022,0.0000,0.0006,0.0035,0.0001,400,58.9286
0.0068,0.0021,0.0000,0.0003,0.0041,0.0000,400,58.9284
0.0084,0.0000,0.0000,0.0000,0.0013,0.0012,400,58.9268
0.0064,0.0039,0.0000,0.0001,0.0023,0.0001,400,58.9289
0.0064,0.0007,0.0000,0.0030,0.0008,0.0018,400,58.9291
0.0097,0.0029,0.0000,0.0034,0.0026,0.0006,400,58.9265
0.0090,0.0018,0.0000,0.0033,0.0036,0.0001,400,58.9276
0.0101,0.0057,0.0000,0.0003,0.0035,0.0005,400,58.9269
0.0084,0.0041,0.0000,0.0010,0.0029,0.0004,400,58.9286
0.0081,0.0039,0.0000,0.0007,0.0030,0.0005,400,58.9289
0.0095,0.0020,0.0000,0.0012,0.0019,0.0043,400,58.9278
0.0084,0.0006,0.0000,0.0015,0.0032,0.0031,400,58.9289
0.0087,0.0007,0.0000,0.0021,0.0048,0.0011,400,58.9289
0.0113,0.0044,0.0000,0.0023,0.0036,0.0006,400,58.9264
0.0091,0.0042,0.0000,0.0002,0.0040,0.0007,400,58.9286
0.0087,0.0035,0.0000,0.0007,0.0038,0.0006,400,58.9292
0.0087,0.0014,0.0000,0.0020,0.0047,0.0006,400,58.9295
0.0096,0.0000,0.0000,0.0015,0.0042,0.0002,400,58.9292
0.0120,0.0058,0.0000,0.0008,0.0039,0.0014,400,58.9267
0.0102,0.0040,0.0000,0.0003,0.0037,0.0022,400,58.9285
0.0060,0.0000,0.0000,0.0000,0.0025,0.0009,400,58.9327
0.0089,0.0023,0.0000,0.0001,0.0030,0.0006,400,58.9299
0.0090,0.0000,0.0000,0.0007,0.0031,0.0011,400,58.9298
0.0094,0.0016,0.0000,0.0019,0.0055,0.0004,400,58.9294
0.0097,0.0035,0.0000,0.0010,0.0051,0.0000,400,58.9292
0.0121,0.0041,0.0000,0.0029,0.0048,0.0003,400,58.9268
0.0090,0.0000,0.0000,0.0001,0.0026,0.0008,400,58.9299
0.0108,0.0042,0.0000,0.0017,0.0039,0.0007,400,58.9281
0.0090,0.0000,0.0000,0.0001,0.0026,0.0010,400,58.9299
0.0100,0.0008,0.0000,0.0054,0.0025,0.0013,400,58.9289
0.0109,0.0026,0.0000,0.0019,0.0035,0.0024,400,58.9281
0.0091,0.0000,0.0000,0.0001,0.0031,0.0003,400,58.9299
0.0122,0.0059,0.0000,0.0023,0.0024,0.0016,400,58.9268
0.0097,0.0012,0.0000,0.0016,0.0068,0.0000,400,58.9297
0.0110,0.0031,0.0000,0.0002,0.0077,0.0000,400,58.9296
0.0118,0.0036,0.0000,0.0034,0.0047,0.0000,400,58.9291
0.0112,0.0000,0.0000,0.0004,0.0046,0.0000,400,58.9299
0.0112,0.0000,0.0000,0.0003,0.0046,0.0000,400,58.9299
0.0145,0.0044,0.0000,0.0015,0.0085,0.0000,400,58.9267
0.0146,0.0044,0.0000,0.0015,0.0087,0.0000,400,58.9267
0.0145,0.0056,0.0000,0.0041,0.0048,0.0000,400,58.9269
0.0118,0.0040,0.0000,0.0017,0.0061,0.0000,400,58.9298
0.0118,0.0010,0.0000,0.0015,0.0063,0.0000,400,58.9299
0.0119,0.0000,0.0000,0.0002,0.0064,0.0000,400,58.9299
0.0120,0.0039,0.0000,0.0016,0.0065,0.0000,400,58.9299
0.0126,0.0033,0.0000,0.0045,0.0047,0.0000,400,58.9294
0.0122,0.0014,0.0000,0.0014,0.0065,0.0000,400,58.9299
0.0137,0.0000,0.0000,0.0000,0.0070,0.0000,400,58.9285
0.0125,0.0016,0.0000,0.0001,0.0072,0.0000,400,58.9299
0.0073,0.0000,0.0000,0.0009,0.0060,0.0000,400,58.9351
0.0074,0.0000,0.0000,0.0016,0.0043,0.0001,400,58.9352
0.0074,0.0000,0.0000,0.0020,0.0040,0.0000,400,58.9352
0.0058,0.0000,0.0000,0.0014,0.0042,0.0001,400,58.9371
0.0059,0.0000,0.0000,0.0010,0.0043,0.0001,400,58.9371
0.0061,0.0000,0.0000,0.0010,0.0044,0.0000,400,58.9371
0.0080,0.0000,0.0000,0.0021,0.0044,0.0000,400,58.9352
0.0004,0.0000,0.0000,0.0000,0.0003,0.0000,400,58.9429
0.0004,0.0000,0.0000,0.0000,0.0003,0.0000,400,58.9430
0.0056,0.0000,0.0000,0.0000,0.0045,0.0000,400,58.9379
0.0048,0.0000,0.0000,0.0000,0.0048,0.0000,400,58.9388
0.0057,0.0000,0.0000,0.0000,0.0051,0.0001,400,58.9382
0.0074,0.0000,0.0000,0.0000,0.0051,0.0001,400,58.9366
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,400,58.9387
0.0061,0.0000,0.0000,0.0000,0.0053,0.0001,400,58.9381
0.0055,0.0000,0.0000,0.0000,0.0054,0.0001,400,58.9388
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,400,58.9389
