response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0053,0.0038,0.0000,0.0002,0.0009,0.0004,200,299.4503
0.0054,0.0034,0.0000,0.0008,0.0011,0.0001,200,299.4509
0.0054,0.0018,0.0000,0.0000,0.0016,0.0001,200,299.4524
0.0068,0.0008,0.0000,0.0000,0.0019,0.0001,200,299.4511
0.0083,0.0025,0.0000,0.0041,0.0017,0.0001,200,299.4498
0.0079,0.0021,0.0000,0.0045,0.0011,0.0001,200,299.4502
0.0085,0.0045,0.0000,0.0030,0.0009,0.0001,200,299.4496
0.0080,0.0016,0.0000,0.0035,0.0011,0.0018,200,299.4507
0.0092,0.0000,0.0000,0.0000,0.0019,0.0001,200,299.4510
0.0108,0.0000,0.0000,0.0000,0.0027,0.0001,200,299.4506
0.0145,0.0063,0.0000,0.0013,0.0017,0.0050,200,299.4476
0.0134,0.0054,0.0000,0.0001,0.0015,0.0063,200,299.4488
0.0122,0.0020,0.0000,0.0038,0.0008,0.0056,200,299.4502
0.0120,0.0000,0.0000,0.0000,0.0035,0.0005,200,299.4504
0.0146,0.0032,0.0000,0.0000,0.0062,0.0007,200,299.4510
0.0158,0.0045,0.0000,0.0008,0.0013,0.0092,200,299.4499
0.0132,0.0006,0.0000,0.0065,0.0018,0.0009,200,299.4524
0.0151,0.0065,0.0000,0.0015,0.0044,0.0025,200,299.4506
0.0155,0.0000,0.0000,0.0000,0.0029,0.0046,200,299.4503
0.0157,0.0067,0.0000,0.0040,0.0041,0.0008,200,299.4501
0.0157,0.0056,0.0000,0.0029,0.0050,0.0021,200,299.4502
0.0174,0.0057,0.0000,0.0044,0.0040,0.0033,200,299.4485
0.0164,0.0009,0.0000,0.0000,0.0083,0.0012,200,299.4496
0.0148,0.0000,0.0000,0.0000,0.0046,0.0001,200,299.4512
0.0185,0.0062,0.0000,0.0011,0.0015,0.0094,200,299.4475
0.0154,0.0000,0.0000,0.0000,0.0035,0.0045,200,299.4508
0.0138,0.0015,0.0000,0.0025,0.0040,0.0037,200,299.4524
0.0154,0.0000,0.0000,0.0000,0.0031,0.0048,200,299.4509
0.0177,0.0053,0.0000,0.0041,0.0033,0.0049,200,299.4488
0.0168,0.0049,0.0000,0.0007,0.0017,0.0096,200,299.4501
0.0162,0.0007,0.0000,0.0043,0.0060,0.0000,200,299.4512
0.0164,0.0045,0.0000,0.0026,0.0061,0.0001,200,299.4510
0.0177,0.0041,0.0000,0.0073,0.0062,0.0000,200,299.4501
0.0176,0.0065,0.0000,0.0049,0.0061,0.0001,200,299.4504
0.0156,0.0000,0.0000,0.0000,0.0061,0.0001,200,299.4524
0.0184,0.0059,0.0000,0.0070,0.0055,0.0000,200,299.4498
0.0165,0.0021,0.0000,0.0001,0.0102,0.0000,200,299.4519
0.0160,0.0008,0.0000,0.0062,0.0055,0.0001,200,299.4524
0.0175,0.0006,0.0000,0.0070,0.0056,0.0001,200,299.4511
0.0164,0.0000,0.0000,0.0003,0.0055,0.0001,200,299.4524
0.0166,0.0005,0.0000,0.0000,0.0104,0.0001,200,299.4524
0.0113,0.0006,0.0000,0.0000,0.0105,0.0000,200,299.4578
0.0185,0.0034,0.0000,0.0084,0.0066,0.0000,200,299.4507
0.0214,0.0038,0.0000,0.0118,0.0050,0.0001,200,299.4479
0.0115,0.0006,0.0000,0.0000,0.0108,0.0001,200,299.4579
0.0171,0.0006,0.0000,0.0000,0.0108,0.0001,200,299.4524
0.0115,0.0008,0.0000,0.0011,0.0095,0.0000,200,299.4581
0.0187,0.0000,0.0000,0.0025,0.0049,0.0001,200,299.4512
0.0188,0.0000,0.0000,0.0044,0.0065,0.0002,200,299.4512
0.0177,0.0005,0.0000,0.0000,0.0111,0.0000,200,299.4524
0.0148,0.0000,0.0000,0.0029,0.0053,0.0000,200,299.4556
0.0208,0.0000,0.0000,0.0086,0.0054,0.0000,200,299.4497
0.0184,0.0030,0.0000,0.0081,0.0054,0.0000,200,299.4523
0.0199,0.0029,0.0000,0.0005,0.0091,0.0001,200,299.4511
0.0199,0.0000,0.0000,0.0028,0.0056,0.0000,200,299.4512
0.0187,0.0045,0.0000,0.0065,0.0057,0.0001,200,299.4524
0.0193,0.0034,0.0000,0.0093,0.0058,0.0000,200,299.4519
0.0201,0.0000,0.0000,0.0038,0.0058,0.0001,200,299.4512
0.0202,0.0000,0.0000,0.0039,0.0060,0.0000,200,299.4512
0.0204,0.0024,0.0000,0.0088,0.0061,0.0000,200,299.4511
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,299.4656
0.0194,0.0000,0.0000,0.0021,0.0061,0.0001,200,299.4524
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,299.4656
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,299.4656
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,299.4658
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,299.4657
0.0210,0.0060,0.0000,0.0041,0.0067,0.0001,200,299.4512
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,299.4659
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,299.4659
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,299.4658
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,299.4660
0.0223,0.0051,0.0000,0.0017,0.0106,0.0001,200,299.4512
0.0226,0.0000,0.0000,0.0000,0.0080,0.0000,200,299.4513
0.0159,0.0000,0.0000,0.0036,0.0080,0.0000,200,299.4581
0.0227,0.0000,0.0000,0.0018,0.0087,0.0000,200,299.4513
0.0121,0.0000,0.0000,0.0000,0.0084,0.0001,200,299.4625
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,299.4661
0.0224,0.0000,0.0000,0.0000,0.0087,0.0001,200,299.4524
0.0239,0.0000,0.0000,0.0000,0.0086,0.0000,200,299.4510
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,299.4664
0.0239,0.0000,0.0000,0.0038,0.0089,0.0000,200,299.4512
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,200,299.4662
0.0088,0.0000,0.0000,0.0000,0.0088,0.0000,200,299.4665
0.0168,0.0026,0.0000,0.0039,0.0102,0.0001,200,299.4587
0.0232,0.0000,0.0000,0.0043,0.0090,0.0001,200,299.4524
0.0233,0.0000,0.0000,0.0041,0.0091,0.0001,200,299.4524
0.0238,0.0000,0.0000,0.0000,0.0095,0.0005,200,299.4524
0.0249,0.0000,0.0000,0.0047,0.0092,0.0002,200,299.4513
0.0203,0.0007,0.0000,0.0096,0.0094,0.0006,200,299.4563
0.0142,0.0000,0.0000,0.0000,0.0096,0.0001,200,299.4624
0.0283,0.0000,0.0000,0.0111,0.0097,0.0001,200,299.4484
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,299.4674
0.0258,0.0063,0.0000,0.0026,0.0121,0.0001,200,299.4513
0.0260,0.0032,0.0000,0.0039,0.0118,0.0000,200,299.4512
0.0191,0.0024,0.0000,0.0034,0.0133,0.0001,200,299.4581
0.0172,0.0012,0.0000,0.0001,0.0159,0.0001,200,299.4602
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,200,299.4679
0.0097,0.0000,0.0000,0.0000,0.0095,0.0002,200,299.4680
0.0269,0.0059,0.0000,0.0001,0.0157,0.0003,200,299.4510
0.0098,0.0000,0.0000,0.0000,0.0097,0.0001,200,299.4682
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,299.4684
0.0257,0.0042,0.0000,0.0028,0.0138,0.0002,200,299.4524
0.0275,0.0053,0.0000,0.0055,0.0114,0.0004,200,299.4511
0.0102,0.0000,0.0000,0.0000,0.0096,0.0005,200,299.4684
0.0265,0.0000,0.0000,0.0038,0.0118,0.0005,200,299.4524
0.0104,0.0000,0.0000,0.0000,0.0098,0.0004,200,299.4686
0.0103,0.0000,0.0000,0.0000,0.0102,0.0001,200,299.4692
0.0182,0.0013,0.0000,0.0000,0.0168,0.0001,200,299.4614
0.0105,0.0000,0.0000,0.0000,0.0101,0.0004,200,299.4690
0.0272,0.0005,0.0000,0.0024,0.0148,0.0007,200,299.4524
0.0135,0.0000,0.0000,0.0000,0.0133,0.0000,200,299.4662
0.0109,0.0000,0.0000,0.0000,0.0100,0.0008,200,299.4689
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,299.4693
0.0277,0.0027,0.0000,0.0038,0.0130,0.0006,200,299.4512
0.0275,0.0000,0.0000,0.0000,0.0140,0.0001,200,299.4524
0.0288,0.0063,0.0000,0.0044,0.0122,0.0010,200,299.4511
0.0108,0.0000,0.0000,0.0000,0.0100,0.0008,200,299.4691
0.0106,0.0000,0.0000,0.0000,0.0105,0.0000,200,299.4694
0.0106,0.0000,0.0000,0.0000,0.0105,0.0001,200,299.4697
0.0279,0.0000,0.0000,0.0001,0.0138,0.0001,200,299.4524
0.0143,0.0000,0.0000,0.0000,0.0143,0.0000,200,299.4660
0.0110,0.0000,0.0000,0.0000,0.0108,0.0001,200,299.4696
0.0107,0.0000,0.0000,0.0000,0.0106,0.0000,200,299.4699
0.0109,0.0000,0.0000,0.0001,0.0107,0.0001,200,299.4700
0.0183,0.0000,0.0000,0.0000,0.0145,0.0001,200,299.4626
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,299.4701
0.0142,0.0000,0.0000,0.0000,0.0137,0.0001,200,299.4669
0.0108,0.0000,0.0000,0.0000,0.0106,0.0000,200,299.4704
0.0109,0.0000,0.0000,0.0000,0.0107,0.0001,200,299.4706
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,299.4707
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,299.4710
