response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0063,0.0008,0.0000,0.0002,0.0039,0.0002,200,-470.1909
0.0077,0.0021,0.0000,0.0002,0.0051,0.0001,200,-470.1909
0.0102,0.0019,0.0000,0.0002,0.0077,0.0000,200,-470.1909
0.0131,0.0021,0.0000,0.0003,0.0103,0.0001,200,-470.1911
0.0146,0.0008,0.0000,0.0004,0.0120,0.0000,200,-470.1909
0.0171,0.0007,0.0000,0.0002,0.0147,0.0001,200,-470.1909
0.0208,0.0013,0.0000,0.0002,0.0183,0.0001,200,-470.1909
0.0227,0.0021,0.0000,0.0002,0.0201,0.0000,200,-470.1910
0.0259,0.0006,0.0000,0.0002,0.0234,0.0000,200,-470.1909
0.0314,0.0009,0.0000,0.0003,0.0288,0.0000,200,-470.1909
0.0265,0.0000,0.0000,0.0000,0.0264,0.0001,200,-470.1846
0.0257,0.0000,0.0000,0.0000,0.0255,0.0001,200,-470.1833
0.0250,0.0000,0.0000,0.0000,0.0249,0.0001,200,-470.1806
0.0257,0.0000,0.0000,0.0000,0.0256,0.0001,200,-470.1780
0.0277,0.0000,0.0000,0.0000,0.0275,0.0000,200,-470.1762
0.0290,0.0000,0.0000,0.0000,0.0289,0.0001,200,-470.1738
0.0272,0.0000,0.0000,0.0000,0.0271,0.0000,200,-470.1701
0.0269,0.0000,0.0000,0.0000,0.0268,0.0001,200,-470.1683
0.0262,0.0000,0.0000,0.0000,0.0261,0.0001,200,-470.1649
0.0244,0.0000,0.0000,0.0000,0.0243,0.0001,200,-470.1594
0.0260,0.0000,0.0000,0.0000,0.0259,0.0000,200,-470.1581
0.0282,0.0000,0.0000,0.0000,0.0281,0.0001,200,-470.1576
0.0289,0.0000,0.0000,0.0000,0.0288,0.0001,200,-470.1557
0.0271,0.0000,0.0000,0.0000,0.0270,0.0000,200,-470.1523
0.0289,0.0000,0.0000,0.0000,0.0288,0.0001,200,-470.1485
0.0259,0.0000,0.0000,0.0000,0.0258,0.0001,200,-470.1447
0.0261,0.0000,0.0000,0.0000,0.0260,0.0001,200,-470.1429
0.0276,0.0000,0.0000,0.0000,0.0275,0.0000,200,-470.1414
0.0287,0.0000,0.0000,0.0000,0.0286,0.0000,200,-470.1387
0.0266,0.0000,0.0000,0.0000,0.0265,0.0000,200,-470.1350
0.0253,0.0000,0.0000,0.0000,0.0252,0.0001,200,-470.1321
0.0275,0.0000,0.0000,0.0000,0.0274,0.0001,200,-470.1294
0.0268,0.0000,0.0000,0.0000,0.0267,0.0001,200,-470.1268
0.0300,0.0000,0.0000,0.0000,0.0299,0.0001,200,-470.1252
0.0252,0.0000,0.0000,0.0000,0.0251,0.0001,200,-470.1196
0.0260,0.0000,0.0000,0.0000,0.0259,0.0000,200,-470.1188
0.0266,0.0000,0.0000,0.0000,0.0265,0.0001,200,-470.1168
0.0298,0.0000,0.0000,0.0000,0.0296,0.0001,200,-470.1137
0.0279,0.0000,0.0000,0.0000,0.0277,0.0001,200,-470.1100
0.0299,0.0000,0.0000,0.0000,0.0298,0.0001,200,-470.1084
0.0301,0.0000,0.0000,0.0000,0.0300,0.0000,200,-470.1068
0.0279,0.0000,0.0000,0.0002,0.0276,0.0000,200,-470.1019
0.0307,0.0000,0.0000,0.0000,0.0305,0.0001,200,-470.1000
0.0275,0.0000,0.0000,0.0000,0.0274,0.0000,200,-470.0952
0.0294,0.0000,0.0000,0.0000,0.0293,0.0000,200,-470.0944
0.0303,0.0000,0.0000,0.0001,0.0296,0.0001,200,-470.0928
0.0304,0.0000,0.0000,0.0000,0.0303,0.0001,200,-470.0902
0.0269,0.0000,0.0000,0.0000,0.0268,0.0000,200,-470.0840
0.0284,0.0000,0.0000,0.0000,0.0283,0.0001,200,-470.0822
0.0250,0.0000,0.0000,0.0000,0.0249,0.0000,200,-470.0786
0.0265,0.0000,0.0000,0.0000,0.0263,0.0001,200,-470.0767
0.0270,0.0000,0.0000,0.0000,0.0269,0.0001,200,-470.0740
0.0246,0.0000,0.0000,0.0000,0.0245,0.0000,200,-470.0694
0.0248,0.0000,0.0000,0.0000,0.0247,0.0001,200,-470.0677
0.0264,0.0000,0.0000,0.0000,0.0263,0.0000,200,-470.0649
0.0261,0.0000,0.0000,0.0000,0.0260,0.0000,200,-470.0625
0.0257,0.0000,0.0000,0.0000,0.0256,0.0001,200,-470.0598
0.0267,0.0000,0.0000,0.0001,0.0266,0.0001,200,-470.0571
0.0253,0.0000,0.0000,0.0001,0.0252,0.0001,200,-470.0537
0.0264,0.0000,0.0000,0.0000,0.0263,0.0000,200,-470.0535
