2025-06-30 19:42:13,122 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?detail_redpacket_pop=true&id=795459806673&mi_id=Bw5lTAMXKtitL_O_RRsW981YfufB3vIAAfqja4fAlsYkci9L9-pP-v6HFvJgSwP6bKkmSFH1TlZBWSm02zmtJmMKpa2H_0v1I4JmhBItTZo&ns=1&priceTId=undefined&query=%E9%85%B7%E6%80%81%E7%A7%91%E5%85%85%E7%94%B5%E5%AE%9D&skuId=5849109852151&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2282d928a3300b743caf83c78a645bb24a%22%7D&xxc=ad_ztc
2025-06-30 19:51:46,432 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?detail_redpacket_pop=true&id=795459806673&mi_id=Bw5lTAMXKtitL_O_RRsW981YfufB3vIAAfqja4fAlsYkci9L9-pP-v6HFvJgSwP6bKkmSFH1TlZBWSm02zmtJmMKpa2H_0v1I4JmhBItTZo&ns=1&priceTId=undefined&query=%E9%85%B7%E6%80%81%E7%A7%91%E5%85%85%E7%94%B5%E5%AE%9D&skuId=5849109852151&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2282d928a3300b743caf83c78a645bb24a%22%7D&xxc=ad_ztc
2025-06-30 20:16:10,738 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?id=630141654382&mi_id=wE3a6LoyY8TbosVnkMPMJ9kqlgT5BhXPEwKZaec3JVLA1I-hRIMlqt8mAyCKuVUz8tRuNOyqF75R7-sYaKJlPADcp92ZKOVYH9NEb83DU2w&skuId=5502808333070&spm=a21bo.jianhua%2Fa.201876.d75.5af92a89curot3&utparam=%7B%22item_ctr%22%3A0.005051%2C%22x_object_type%22%3A%22p4p_item%22%2C%22item_price%22%3A%228.9%22%2C%22item_cvr%22%3A0.031835%2C%22pc_scene%22%3A%2220001%22%2C%22aplus_abtest%22%3A%22b9be0cf270afdbde6eaf0c7e2f552307%22%2C%22tpp_buckets%22%3A%2230986%23441643%23module%22%2C%22ab_info%22%3A%2230986%23441643%23-1%23%22%2C%22abid%22%3A%220%22%2C%22pc_pvid%22%3A%2261ca28c3-d4dd-455d-b809-43ed3370fec8%22%2C%22mix_group%22%3A%22%22%2C%22item_ecpm%22%3A0.000707%2C%22x_object_id%22%3A630141654382%7D&xxc=ad_ct
2025-06-30 20:19:32,713 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?detail_redpacket_pop=true&id=795459806673&mi_id=Bw5lTAMXKtitL_O_RRsW981YfufB3vIAAfqja4fAlsYkci9L9-pP-v6HFvJgSwP6bKkmSFH1TlZBWSm02zmtJmMKpa2H_0v1I4JmhBItTZo&ns=1&priceTId=undefined&query=%E9%85%B7%E6%80%81%E7%A7%91%E5%85%85%E7%94%B5%E5%AE%9D&skuId=5849109852151&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2282d928a3300b743caf83c78a645bb24a%22%7D&xxc=ad_ztc
2025-06-30 20:20:26,953 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9EFF0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.114/element
2025-06-30 20:20:31,018 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F230>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.114/element
2025-06-30 20:20:35,036 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F410>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.114/element
2025-06-30 20:20:43,201 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F980>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.115/element
2025-06-30 20:20:47,246 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9FBC0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.115/element
2025-06-30 20:20:51,289 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9FE00>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.115/element
2025-06-30 20:20:59,379 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F560>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.116/element
2025-06-30 20:21:00,543 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?id=630141654382&mi_id=wE3a6LoyY8TbosVnkMPMJ9kqlgT5BhXPEwKZaec3JVLA1I-hRIMlqt8mAyCKuVUz8tRuNOyqF75R7-sYaKJlPADcp92ZKOVYH9NEb83DU2w&skuId=5502808333070&spm=a21bo.jianhua%2Fa.201876.d75.5af92a89curot3&utparam=%7B%22item_ctr%22%3A0.005051%2C%22x_object_type%22%3A%22p4p_item%22%2C%22item_price%22%3A%228.9%22%2C%22item_cvr%22%3A0.031835%2C%22pc_scene%22%3A%2220001%22%2C%22aplus_abtest%22%3A%22b9be0cf270afdbde6eaf0c7e2f552307%22%2C%22tpp_buckets%22%3A%2230986%23441643%23module%22%2C%22ab_info%22%3A%2230986%23441643%23-1%23%22%2C%22abid%22%3A%220%22%2C%22pc_pvid%22%3A%2261ca28c3-d4dd-455d-b809-43ed3370fec8%22%2C%22mix_group%22%3A%22%22%2C%22item_ecpm%22%3A0.000707%2C%22x_object_id%22%3A630141654382%7D&xxc=ad_ct
2025-06-30 20:21:03,420 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F590>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.116/element
2025-06-30 20:21:07,486 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F2C0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.116/element
2025-06-30 20:21:15,640 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9EE70>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.117/element
